"Reporting Period","Project ID","Project County","Project City","Project ZIP","Gas Utility","Electric Utility","Project Completion Date","Total Project Cost","Pre-Retrofit Home Heating Fuel Type","Year Home Built","Size Of Home","Number Of Units","Job Type","Type Of Dwelling","Measure Type","Estimated Annual kWh Savings","Estimated Annual MMBtu Savings","First Year Modeled Project Energy Savings $ Estimate","Location 1"
"06/30/2023","571652","Warren","Queensbury","12804",,"National Grid","03/14/2023","$9,616.00","Oil",,"1893","1","Home Performance","Single Family","Building Shell","3,729.00","20.00","$927.00"," Queensbury NY 12804 (43.33471, -73.678785)"
"06/30/2023","523817","Fulton","Gloversville","12078",,"National Grid","02/28/2023","$6,568.00","Kerosene",,"840","1","Home Performance","Mobile","Building Shell","713.00","12.00","$394.00"," Gloversville NY 12078 (43.0529373, -74.3424296)"
"06/30/2023","558024","Oneida","Utica","13502","National Grid","National Grid","02/07/2023","$8,167.00","Natural Gas",,"960","1","Home Performance","Single Family","Building Shell","1,076.00","21.00","$367.00"," Utica NY 13502 (43.1010822, -75.2472726)"
"06/30/2023","565515","Herkimer","Newport","13416",,"National Grid","01/17/2023","$8,864.00","Propane",,"1080","1","Home Performance","Mobile","Building Shell","15.00","8.00","$253.00"," Newport NY 13416 (43.1886557, -75.0152971)"
"06/30/2023","558718","Oneida","Lee","13363",,"National Grid","12/22/2022","$19,789.00","Propane",,"938","1","Home Performance","Mobile","Building Shell","-4,570.00","85.00","$2,063.00"," Lee NY 13363 (43.302289, -75.5188154)"
"06/30/2023","561113","Livingston","Conesus","14435",,"National Grid","12/20/2022","$5,079.00","Propane",,"1152","1","Home Performance","Single Family","Building Shell","0.00","14.00","$415.00"," Conesus NY 14435 (42.7218494, -77.6728114)"
"06/30/2023","533391","Kings","Brooklyn","11211",,"Consolidated Edison","12/13/2022","$6,241.00","Natural Gas",,"3400","1","Home Performance","Single Family","Building Shell","817.00","30.00","$643.00"," Brooklyn NY 11211 (40.712345, -73.95398)"
"06/30/2023","553084","Fulton","Mayfield","12117",,"National Grid","12/06/2022","$12,107.00","Oil",,"1496","1","Home Performance","Single Family","Building Shell","-11,067.00","109.00","$981.00"," Mayfield NY 12117 (43.1081085, -74.2690485)"
"06/30/2023","556424","Queens","Queens","11411",,"Consolidated Edison","11/17/2022","$10,882.00","Natural Gas",,"2666","2","Home Performance","Single Family","Building Shell","331.00","76.00","$1,249.00"," Queens NY 11411 (40.694725, -73.73937)"
"06/30/2023","561163","Franklin","Moira","12957",,"National Grid","10/25/2022","$9,832.00","Propane",,"910","1","Home Performance","Mobile","Building Shell","273.00","42.00","$1,465.00"," Moira NY 12957 (44.8206904, -74.5602555)"
"06/30/2023","547203","Tioga","Owego","13827",,"New York State Electric & Gas","10/06/2022","$12,470.00","Oil",,"1540","1","Home Performance","Single Family","Building Shell","55.00","54.00","$1,179.00"," Owego NY 13827 (42.105545, -76.26612)"
"06/30/2023","545274","Livingston","Hemlock","14466",,"National Grid","09/27/2022","$7,603.00","Propane",,"3,080","1","Home Performance","Single Family","Building Shell","120.00","37.00","$1,315.00"," Hemlock NY 14466 (42.78975, -77.5818951)"
"06/30/2023","542747","Saratoga","Ballston Spa","12020",,"National Grid","09/15/2022","$9,074.00","Propane","2006","924","1","Home Performance","Mobile","Building Shell","510.00","14.00","$554.00"," Ballston Spa NY 12020 (43.006105, -73.851605)"
"06/30/2023","471636","Chautauqua","Clymer","14724",,"National Grid","06/28/2022","$7,625.00","Propane","1998","845","1","Home Performance","Mobile","Building Shell","494.00","26.00","$717.00"," Clymer NY 14724 (42.0644185, -79.7450859)"
"06/30/2023","537826","Oneida","Boonville","13309",,"National Grid","06/28/2022","$8,238.00","Oil",,"1,536","1","Home Performance","Single Family","Building Shell","689.00","49.00","$1,086.00"," Boonville NY 13309 (43.48398, -75.335415)"
"06/30/2023","537907","Kings","Brooklyn","11203",,"Consolidated Edison","06/23/2022","$5,038.00","Natural Gas",,"840","1","Home Performance","Single Family","Building Shell","0.00","20.00","$303.00"," Brooklyn NY 11203 (40.650265, -73.927795)"
"06/30/2023","544646","Queens","Queens","11435",,"Consolidated Edison","05/24/2022","$9,994.00","Natural Gas",,"2,299","1","Home Performance","Single Family","Building Shell","269.00","56.00","$671.00"," Queens NY 11435 (40.69992, -73.80949)"
"06/30/2023","537470","Oneida","Camden","13316",,"National Grid","05/17/2022","$8,475.00","Oil",,"1,368","1","Home Performance","Single Family","Building Shell","0.00","52.00","$1,072.00"," Camden NY 13316 (43.3367062, -75.7482485)"
"06/30/2023","539888","Oneida","Lee Center","13363",,"National Grid","05/17/2022","$6,981.00","Pellets",,"1,100","1","Home Performance","Single Family","Building Shell","510.00","35.00","$605.00"," Lee Center NY 13363 (43.302289, -75.5188154)"
"06/30/2023","529295","Oneida","Remsen","13438",,"National Grid","05/12/2022","$7,678.00","Propane",,"1,008","1","Home Performance","Mobile","Building Shell","0.00","21.00","$622.00"," Remsen NY 13438 (43.3244276, -75.1890252)"
"06/30/2023","523320","Oneida","Rome","13440",,"National Grid","04/05/2022","$6,844.00","Propane",,"1,710","1","Home Performance","Single Family","Building Shell","301.00","25.00","$644.00"," Rome NY 13440 (43.21118, -75.458425)"
"06/30/2023","535955","Montgomery","Fort Plain","13339",,"National Grid","04/05/2022","$9,550.00","Kerosene",,"1,472","1","Home Performance","Mobile","Building Shell","0.00","24.00","$605.00"," Fort Plain NY 13339 (42.9297647, -74.6269854)"
"06/30/2023","523309","Onondaga","Syracuse","13224","National Grid","National Grid","03/29/2022","$5,394.00","Natural Gas",,"2,584","1","Home Performance","Single Family","Building Shell","510.00","26.00","$346.00"," Syracuse NY 13224 (43.047035, -76.108085)"
"06/30/2023","536657","Oneida","Rome","13440","National Grid","National Grid","03/24/2022","$4,069.00","Natural Gas",,"2,220","1","Home Performance","Single Family","Building Shell","380.00","25.00","$321.00"," Rome NY 13440 (43.21118, -75.458425)"
"06/30/2023","535340","Queens","Queens","11411",,"Consolidated Edison","03/08/2022","$4,122.00","Natural Gas",,"1,152","2","Home Performance","Single Family","Building Shell","1,521.00","26.00","$737.00"," Queens NY 11411 (40.694725, -73.73937)"
"06/30/2023","499634","Wayne","Wolcott","14590",,"Rochester Gas & Electric","02/22/2022","$27,591.00","Wood","1902","1,608","1","Home Performance","Single Family","Building Shell","-764.00","182.00","$1,634.00"," Wolcott NY 14590 (43.2204905, -76.8164533)"
"06/30/2023","505707","Oneida","Utica","13501","National Grid","National Grid","02/08/2022","$6,279.00","Natural Gas",,"1,560","1","Home Performance","Single Family","Building Shell","572.00","12.00","$205.00"," Utica NY 13501 (43.09528, -75.22754)"
"06/30/2023","518381","Erie","Buffalo","14211","National Grid","National Grid","01/11/2022","$10,721.00","Natural Gas",,"1,691","1","Home Performance","Single Family","Building Shell","510.00","89.00","$828.00"," Buffalo NY 14211 (42.90832, -78.83677)"
"06/30/2023","496776","Oneida","Boonville","13309",,"National Grid","12/14/2021","$9,230.00","Oil",,"1,760","1","Home Performance","Single Family","Building Shell","1,110.00","34.00","$838.00"," Boonville NY 13309 (43.48398, -75.335415)"
"06/30/2023","515023","Lewis","Lyons Falls","13368",,"National Grid","12/14/2021","$3,908.00","Other",,"1,056","1","Home Performance","Single Family","Building Shell","443.00","15.00","$637.00"," Lyons Falls NY 13368 (43.6197333, -75.3653622)"
